row,folder,file,cdn_url,status,error
20,0020_YESWOOD_Furniture_Store,06.jpg,,fail,Shopify 406: 
21,0021_YESWOOD_Furniture_Store,01.jpg,,fail,Shopify 406: 
21,0021_YESWOOD_Furniture_Store,02.jpg,,fail,Shopify 406: 
21,0021_YESWOOD_Furniture_Store,03.jpg,,fail,Shopify 406: 
21,0021_YESWOOD_Furniture_Store,04.jpg,,fail,Shopify 406: 
21,0021_YESWOOD_Furniture_Store,05.jpg,,fail,Shopify 406: 
21,0021_YESWOOD_Furniture_Store,06.jpg,,fail,Shopify 406: 
21,0021_YESWOOD_Furniture_Store,07.jpg,,fail,Shopify 406: 
21,0021_YESWOOD_Furniture_Store,08.jpg,,fail,Shopify 406: 
22,0022_YESWOOD_Furniture_Store,01.jpg,,fail,Shopify 406: 
22,0022_YESWOOD_Furniture_Store,02.jpg,,fail,Shopify 406: 
22,0022_YESWOOD_Furniture_Store,03.jpg,,fail,Shopify 406: 
22,0022_YESWOOD_Furniture_Store,04.jpg,,fail,Shopify 406: 
22,0022_YESWOOD_Furniture_Store,05.jpg,,fail,Shopify 406: 
22,0022_YESWOOD_Furniture_Store,06.jpg,,fail,Shopify 406: 
22,0022_YESWOOD_Furniture_Store,07.jpg,,fail,Shopify 406: 
23,0023_YESWOOD_Furniture_Store,01.jpg,,fail,Shopify 406: 
23,0023_YESWOOD_Furniture_Store,02.jpg,,fail,Shopify 406: 
23,0023_YESWOOD_Furniture_Store,03.jpg,,fail,Shopify 406: 
23,0023_YESWOOD_Furniture_Store,04.jpg,,fail,Shopify 406: 
23,0023_YESWOOD_Furniture_Store,05.jpg,,fail,Shopify 406: 
23,0023_YESWOOD_Furniture_Store,06.jpg,,fail,Shopify 406: 
23,0023_YESWOOD_Furniture_Store,07.jpg,,fail,Shopify 406: 
23,0023_YESWOOD_Furniture_Store,08.jpg,,fail,Shopify 406: 
23,0023_YESWOOD_Furniture_Store,09.jpg,,fail,Shopify 406: 
